"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"LTST-C171GKT","Lite-On Inc.","160-1423-1-ND","LED1,LED2","","Cut Tape (CT)","Active","10","0.21100","$2.11","628312","12 Weeks","LED GREEN CLEAR CHIP SMD","RoHS Compliant","Lead free","Not Available"
"73L4R47J","CTS Resistor Products","73L4R47JCT-ND","R1,R2","","Cut Tape (CT)","Active","10","0.07300","$0.73","6995","26 Weeks","RES 0.47 OHM 5% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"CRGH0805J1K0","TE Connectivity Passive Product","A126435CT-ND","R3","","Cut Tape (CT)","Active","10","0.06900","$0.69","14261","17 Weeks","RES SMD 1K OHM 5% 1/3W 0805","RoHS Compliant","Lead free","Not Available"
"RMCF1206FT13K7","Stackpole Electronics Inc.","RMCF1206FT13K7CT-ND","R4","","Cut Tape (CT)","Active","10","0.03800","$0.38","9600","22 Weeks","RES 13.7K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF1206FG475K","Stackpole Electronics Inc.","RMCF1206FG475KCT-ND","R5","","Cut Tape (CT)","Active","10","0.03800","$0.38","19520","22 Weeks","RES 475K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF1206FT4K02","Stackpole Electronics Inc.","RMCF1206FT4K02CT-ND","R6","","Cut Tape (CT)","Active","10","0.03800","$0.38","4051","22 Weeks","RES 4.02K OHM 1% 1/4W 1206","RoHS Compliant","Lead free","REACH Unaffected"
"RMCF0805JT2K00","Stackpole Electronics Inc.","RMCF0805JT2K00CT-ND","R7,R8","","Cut Tape (CT)","Active","10","0.02100","$0.21","58615","22 Weeks","RES 2K OHM 5% 1/8W 0805","RoHS Compliant","Lead free","REACH Unaffected"
"TC33X-2-202E","Bourns Inc.","TC33X-202ECT-ND","RX","","Cut Tape (CT)","Active","5","0.28000","$1.40","36797","30 Weeks","TRIMMER 2K OHM 0.1W J LEAD TOP","RoHS Compliant","Lead free","REACH Unaffected"
"UWT1E221MNL1GS","Nichicon","493-2192-1-ND","C1,C5,C6","","Cut Tape (CT)","Active","10","0.31500","$3.15","71329","28 Weeks","CAP ALUM 220UF 20% 25V SMD","RoHS Compliant","Lead free","REACH Unaffected"
"885012205060","Wurth Electronics Inc.","732-7555-1-ND","C2","","Cut Tape (CT)","Active","10","0.01500","$0.15","9810","35 Weeks","CAP CER 680PF 50V X7R 0402","RoHS Compliant","Lead free","REACH Unaffected"
"C0402C103K5RACTU","KEMET","399-3066-1-ND","C3","","Cut Tape (CT)","Active","10","0.03500","$0.35","100000","54 Weeks","CAP CER 10000PF 50V X7R 0402","RoHS Compliant","Lead free","REACH Unaffected"
